Timestamp,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Light intensity
3651,-0.468556,0.332449,11.156963,0.086539,0.101516,0.053747,-16.525402,-14.154833,-38.722992,387.000000
3654,-0.468556,0.332449,11.156963,0.054581,0.069025,0.041496,-16.525402,-14.154833,-38.722992,387.000000
3654,-0.456578,0.342031,11.195292,0.054581,0.069025,0.041496,-16.525402,-14.154833,-38.722992,387.000000
3653,-0.456578,0.342031,11.195292,0.054581,0.069025,0.041496,-12.103218,-12.570530,-38.165512,387.000000
3656,-0.437414,0.344426,11.291110,0.054581,0.069025,0.041496,-12.103218,-12.570530,-38.165512,387.000000
3659,-0.437414,0.344426,11.291110,0.010373,0.040796,0.016462,-12.103218,-12.570530,-38.165512,387.000000
3659,-0.456578,0.358799,11.300693,0.010373,0.040796,0.016462,-12.103218,-12.570530,-38.165512,387.000000
3661,-0.473347,0.361194,11.319857,0.010373,0.040796,0.016462,-12.103218,-12.570530,-38.165512,387.000000
3664,-0.473347,0.361194,11.319857,-0.042890,0.022686,-0.011767,-12.103218,-12.570530,-38.165512,387.000000
3664,-0.506883,0.332449,11.343811,-0.042890,0.022686,-0.011767,-12.103218,-12.570530,-38.165512,387.000000
3663,-0.506883,0.332449,11.343811,-0.042890,0.022686,-0.011767,-13.358810,-13.667110,-39.402199,387.000000
3666,-0.523652,0.296517,11.425258,-0.042890,0.022686,-0.011767,-13.358810,-13.667110,-39.402199,387.000000
3669,-0.523652,0.296517,11.425258,-0.107871,0.010968,-0.044258,-13.358810,-13.667110,-39.402199,387.000000
3669,-0.528443,0.241421,11.367765,-0.107871,0.010968,-0.044258,-13.358810,-13.667110,-39.402199,387.000000
3671,-0.509279,0.164765,11.283924,-0.107871,0.010968,-0.044258,-13.358810,-13.667110,-39.402199,387.000000
3674,-0.509279,0.164765,11.283924,-0.173385,0.001914,-0.076748,-13.358810,-13.667110,-39.402199,387.000000
3674,-0.437414,0.114460,11.291110,-0.173385,0.001914,-0.076748,-13.358810,-13.667110,-39.402199,387.000000
3673,-0.437414,0.114460,11.291110,-0.173385,0.001914,-0.076748,-14.625896,-13.635693,-38.113068,387.000000
3676,-0.430228,0.042596,11.317460,-0.173385,0.001914,-0.076748,-14.625896,-13.635693,-38.113068,387.000000
3679,-0.430228,0.042596,11.317460,-0.239431,-0.016729,-0.107108,-14.625896,-13.635693,-38.113068,387.000000
3679,-0.355968,-0.036455,11.331834,-0.239431,-0.016729,-0.107108,-14.625896,-13.635693,-38.113068,387.000000
3681,-0.272126,-0.005314,11.303087,-0.239431,-0.016729,-0.107108,-14.625896,-13.635693,-38.113068,387.000000
3684,-0.272126,-0.005314,11.303087,-0.296423,-0.045491,-0.138001,-14.625896,-13.635693,-38.113068,387.000000
3684,-0.312850,-0.046037,11.358184,-0.296423,-0.045491,-0.138001,-14.625896,-13.635693,-38.113068,387.000000
3683,-0.312850,-0.046037,11.358184,-0.296423,-0.045491,-0.138001,-15.912582,-13.047081,-39.403152,387.000000
3686,-0.308059,-0.069992,11.386930,-0.296423,-0.045491,-0.138001,-15.912582,-13.047081,-39.403152,387.000000
3689,-0.308059,-0.069992,11.386930,-0.344360,-0.090764,-0.173687,-15.912582,-13.047081,-39.403152,387.000000
3689,-0.238590,-0.069992,11.379744,-0.344360,-0.090764,-0.173687,-15.912582,-13.047081,-39.403152,387.000000
3691,-0.217030,-0.108319,11.477958,-0.344360,-0.090764,-0.173687,-15.912582,-13.047081,-39.403152,387.000000
3694,-0.217030,-0.108319,11.477958,-0.381111,-0.146158,-0.206710,-15.912582,-13.047081,-39.403152,387.000000
3694,-0.322432,-0.101133,11.509099,-0.381111,-0.146158,-0.206710,-15.912582,-13.047081,-39.403152,387.000000
3696,-0.279313,-0.144252,11.513889,-0.381111,-0.146158,-0.206710,-15.912582,-13.047081,-39.403152,387.000000
3693,-0.279313,-0.144252,11.513889,-0.381111,-0.146158,-0.206710,-14.625896,-13.635693,-38.113068,387.000000
3699,-0.303268,-0.228093,11.590546,-0.381111,-0.146158,-0.206710,-14.625896,-13.635693,-38.113068,387.000000
3699,-0.303268,-0.228093,11.590546,-0.401884,-0.199421,-0.242929,-14.625896,-13.635693,-38.113068,387.000000
3701,-0.343991,-0.297562,11.695947,-0.401884,-0.199421,-0.242929,-14.625896,-13.635693,-38.113068,387.000000
3704,-0.343991,-0.297562,11.695947,-0.405080,-0.244162,-0.269028,-14.625896,-13.635693,-38.113068,387.000000
3704,-0.363155,-0.343076,11.796556,-0.405080,-0.244162,-0.269028,-14.625896,-13.635693,-38.113068,387.000000
3703,-0.363155,-0.343076,11.796556,-0.405080,-0.244162,-0.269028,-14.648933,-12.513367,-38.789017,387.000000
3706,-0.288895,-0.448477,11.849257,-0.405080,-0.244162,-0.269028,-14.648933,-12.513367,-38.789017,387.000000
3709,-0.288895,-0.448477,11.849257,-0.395492,-0.273457,-0.287138,-14.648933,-12.513367,-38.789017,387.000000
